"","name","ba","babip","slg","woba","launch_speed","spin_rate","whiffs","K.9","BB.9","HR.9","FIP","ERAm","WPA","SIERA","WAR"
"1","Aaron Nola",0.197,0.254,0.311,0.251,81.6,2115,12.4,9.49,2.46,0.72,3.01,59,4.84,3.4,5.4
"2","Alex Cobb",0.284,0.305,0.482,0.345,84.7,2092,7.4,6.03,2.54,1.42,4.8,114,-1.54,4.62,1.4
"3","Alex Wood",0.247,0.295,0.363,0.288,83.4,1894,10.7,7.97,2.37,0.85,3.55,95,0.3,3.9,2.3
"4","Andrew Cashner",0.291,0.311,0.496,0.366,84.2,2057,6.8,5.82,3.82,1.47,5.32,123,-2.15,5.33,0.6
"5","Andrew Heaney",0.248,0.296,0.419,0.311,82.9,2357,11.8,9,2.25,1.35,3.99,100,0.39,3.74,2.7
"6","Andrew Suarez",0.269,0.305,0.447,0.329,84.2,2070,7.3,7.3,2.53,1.29,4.3,115,-0.29,4.07,1
"7","Anibal Sanchez",0.213,0.26,0.354,0.278,80,2083,10.5,8.96,2.63,1.01,3.59,71,1.66,3.85,2.5
"8","Bartolo Colon",0.291,0.288,0.547,0.362,85,2129,5.4,4.84,1.61,1.94,5.49,124,-0.92,4.82,0.4
"9","Blake Snell",0.178,0.242,0.3,0.246,82,2286,15.1,11.01,3.19,0.8,2.95,46,5.01,3.3,4.8
"10","Brad Keller",0.252,0.294,0.335,0.29,84.1,2263,9,6.33,3.28,0.46,3.56,76,1.72,4.51,2.6
"11","Carlos Carrasco",0.238,0.317,0.384,0.288,84.6,2318,15.3,10.66,1.88,1.01,2.98,75,2.14,3.03,5.2
"12","CC Sabathia",0.25,0.295,0.397,0.313,81.3,2164,10.8,8.24,3,1.12,4.16,84,0.18,4.24,2.4
"13","Charlie Morton",0.213,0.284,0.356,0.293,82.5,2415,11.9,10.83,3.45,0.97,3.59,76,2.76,3.52,2.9
"14","Chase Anderson",0.228,0.242,0.426,0.317,81.5,2198,9.2,7.29,3.25,1.71,5.22,96,0.75,4.68,0.4
"15","Chris Archer",0.268,0.339,0.437,0.33,83.8,2284,13.1,9.83,2.97,1.15,3.75,106,-0.46,3.73,2.6
"16","Chris Sale",0.181,0.283,0.288,0.237,79.9,2339,15.8,13.5,1.94,0.63,1.98,47,4.06,2.27,6.2
"17","Chris Stratton",0.273,0.308,0.455,0.34,84.7,2528,8.5,6.92,3.24,1.08,4.3,121,-1.8,4.7,0.7
"18","Clayton Kershaw",0.227,0.276,0.366,0.273,82.9,2456,11,8.65,1.62,0.95,3.19,71,1.72,3.45,3.3
"19","Clayton Richard",0.263,0.292,0.432,0.335,84.8,2164,8.5,6.13,3.4,1.08,4.68,137,-2.49,4.51,0.6
"20","Cole Hamels",0.246,0.293,0.422,0.325,83.3,2011,12.1,8.87,3.07,1.37,4.49,85,0.62,3.99,2.2
"21","Corey Kluber",0.223,0.277,0.367,0.27,82.6,2419,12,9.29,1.42,1.05,3.12,65,3.9,3.23,5.5
"22","Dallas Keuchel",0.263,0.302,0.393,0.306,83.8,2038,8.3,6.73,2.55,0.79,3.69,91,0.44,4.15,3.3
"23","Dan Straily",0.237,0.259,0.431,0.324,83.1,2256,9.8,7.28,3.83,1.47,5.11,108,-0.8,4.92,0.1
"24","Danny Duffy",0.264,0.305,0.426,0.333,82.9,2305,9.6,8.19,4.06,1.34,4.7,113,-0.44,4.75,1.2
"25","David Price",0.23,0.275,0.399,0.3,83.8,2078,9.6,9.05,2.56,1.28,4.02,80,2.87,3.82,2.4
"26","Derek Holland",0.241,0.294,0.405,0.309,82.4,2260,10.2,8.52,3.56,1,3.96,94,-0.12,4.2,2.2
"27","Dylan Bundy",0.274,0.318,0.523,0.363,82.6,2335,12.7,9.65,2.83,2.15,5.17,127,-1.4,3.94,0.9
"28","Dylan Covey",0.269,0.306,0.394,0.32,83.5,2011,7.1,6.89,3.94,0.98,4.42,131,-1.5,4.59,1.2
"29","Eduardo Rodriguez",0.238,0.301,0.377,0.298,82.4,2181,11.1,10,3.14,1.09,3.66,85,1.31,3.74,2.1
"30","Eric Lauer",0.285,0.336,0.442,0.347,81.5,2195,8.6,8.04,3.7,1.21,4.51,111,-0.56,4.62,0.8
