"","player_name","ba","babip","slg","woba","launch_speed","spin_rate","whiffs","IP","K.9","BB.9","HR.9","FIP","WAR","ERAm"
"1","Aaron Nola",0.197,0.254,0.311,0.251,81.6,2115,420,212.1,9.49,2.46,0.72,3.01,5.6,59
"2","Alex Cobb",0.284,0.305,0.482,0.345,84.7,2092,196,152.1,6.03,2.54,1.42,4.8,1.3,114
"3","Alex Wood",0.247,0.295,0.363,0.288,83.4,1894,283,148,7.97,2.37,0.85,3.55,2.5,95
"4","Andrew Cashner",0.291,0.311,0.496,0.366,84.2,2057,198,153,5.82,3.82,1.47,5.32,0.5,123
"5","Andrew Heaney",0.248,0.296,0.419,0.311,82.9,2357,352,180,9,2.25,1.35,3.99,2.8,100
"6","Andrew Suarez",0.269,0.305,0.447,0.329,84.2,2070,207,160.1,7.3,2.53,1.29,4.3,1,115
"7","Anibal Sanchez",0.213,0.26,0.354,0.278,80,2083,245,133.2,8.96,2.63,1.01,3.59,2.4,71
"8","Bartolo Colon",0.291,0.288,0.547,0.362,85,2129,129,139.1,4.84,1.61,1.94,5.49,0.2,124
"9","Blake Snell",0.178,0.242,0.3,0.246,82,2286,460,180.2,11.01,3.19,0.8,2.95,4.6,46
"10","Brad Keller",0.252,0.294,0.335,0.29,84.1,2263,217,118,6.33,3.28,0.46,3.56,2.3,76
"11","Carlos Carrasco",0.238,0.317,0.384,0.288,84.6,2318,488,186.2,10.66,1.88,1.01,2.98,5.1,75
"12","CC Sabathia",0.25,0.295,0.397,0.313,81.3,2164,296,153,8.24,3,1.12,4.16,2.5,84
"13","Charlie Morton",0.213,0.284,0.356,0.293,82.5,2415,343,167,10.83,3.45,0.97,3.59,3.1,76
"14","Chase Anderson",0.228,0.242,0.426,0.317,81.5,2198,268,158,7.29,3.25,1.71,5.22,0.4,96
"15","Chris Archer",0.268,0.339,0.437,0.33,83.8,2284,348,148.1,9.83,2.97,1.15,3.75,2.4,106
"16","Chris Sale",0.181,0.283,0.288,0.237,79.9,2339,425,158,13.5,1.94,0.63,1.98,6.5,47
"17","Chris Stratton",0.273,0.308,0.455,0.34,84.7,2528,234,141.2,6.92,3.24,1.08,4.3,0.8,121
"18","Clayton Kershaw",0.227,0.276,0.366,0.273,82.9,2456,278,161.1,8.65,1.62,0.95,3.19,3.5,71
"19","Clayton Richard",0.263,0.292,0.432,0.335,84.8,2164,211,158.2,6.13,3.4,1.08,4.68,0.7,137
"20","Cole Hamels",0.246,0.293,0.422,0.325,83.3,2011,394,190.2,8.87,3.07,1.37,4.49,2,85
"21","Corey Kluber",0.223,0.277,0.367,0.27,82.6,2419,411,215,9.29,1.42,1.05,3.12,5.6,65
"22","Dallas Keuchel",0.263,0.302,0.393,0.306,83.8,2038,295,204.2,6.73,2.55,0.79,3.69,3.6,91
"23","Dan Straily",0.237,0.259,0.431,0.324,83.1,2256,237,122.1,7.28,3.83,1.47,5.11,0.1,108
"24","Danny Duffy",0.264,0.305,0.426,0.333,82.9,2305,299,155,8.19,4.06,1.34,4.7,1.1,113
"25","David Price",0.23,0.275,0.399,0.3,83.8,2078,294,176,9.05,2.56,1.28,4.02,2.7,80
"26","Derek Holland",0.241,0.294,0.405,0.309,82.4,2260,326,161.2,8.52,3.56,1,3.96,1.9,94
"27","Dylan Bundy",0.274,0.318,0.523,0.363,82.6,2335,383,171.2,9.65,2.83,2.15,5.17,0.8,127
"28","Dylan Covey",0.269,0.306,0.394,0.32,83.5,2011,159,109.2,6.89,3.94,0.98,4.42,1.1,131
"29","Eduardo Rodriguez",0.238,0.301,0.377,0.298,82.4,2181,288,123.1,10,3.14,1.09,3.66,2.2,85
"30","Eric Lauer",0.285,0.336,0.442,0.347,81.5,2195,190,112,8.04,3.7,1.21,4.51,0.8,111
"31","Felix Hernandez",0.262,0.288,0.46,0.345,84.3,2048,226,150,7.38,3.42,1.56,5.15,0.3,139
"32","Francisco Liriano",0.252,0.285,0.421,0.338,84.1,2032,240,131.2,7.45,4.92,1.3,5.14,0.3,109
"33","German Marquez",0.241,0.313,0.391,0.298,83.9,2301,399,196,10.56,2.62,1.1,3.4,4.5,81
"34","Gerrit Cole",0.198,0.288,0.332,0.266,82.3,2470,498,200.1,12.4,2.88,0.85,2.7,6.3,70
"35","Gio Gonzalez",0.256,0.302,0.399,0.32,82.7,2163,311,171,7.79,4.21,0.89,4.16,2,103
"36","Ian Kennedy",0.265,0.302,0.456,0.334,83.7,2345,186,119.2,7.9,3.01,1.5,4.61,1,108
"37","Ivan Nova",0.268,0.29,0.459,0.327,84.5,2207,242,161,6.37,1.96,1.45,4.57,1.1,106
"38","J.A. Happ",0.225,0.273,0.389,0.295,82.1,2197,352,177.2,9.78,2.58,1.37,3.98,3.2,85
"39","Jack Flaherty",0.199,0.258,0.345,0.281,81.9,2182,376,151,10.85,3.52,1.19,3.86,2.3,85
"40","Jacob deGrom",0.196,0.283,0.277,0.23,81.3,2292,524,217,11.16,1.91,0.41,1.99,8.8,45
"41","Jaime Barria",0.242,0.272,0.402,0.315,83.5,2113,242,129.1,6.82,3.27,1.18,4.58,1.3,83
"42","Jake Arrieta",0.254,0.289,0.407,0.315,82.6,2287,243,172.2,7.19,2.97,1.09,4.26,2,99
"43","Jake Odorizzi",0.242,0.293,0.419,0.322,81.9,2130,360,164.1,8.87,3.83,1.1,4.2,2.6,103
"44","Jakob Junis",0.266,0.302,0.456,0.333,83.7,2159,293,177,8.34,2.19,1.63,4.64,1.3,101
"45","James Paxton",0.224,0.301,0.386,0.287,82.7,2185,411,160.1,11.68,2.36,1.29,3.24,3.8,93
"46","James Shields",0.245,0.263,0.435,0.326,84.3,2217,364,204,6.79,3.35,1.5,5.07,0.9,107
"47","Jameson Taillon",0.246,0.3,0.385,0.294,82.7,2359,348,191,8.43,2.17,0.94,3.46,3.7,81
"48","Jason Hammel",0.315,0.35,0.505,0.368,84.9,2217,210,102.1,5.8,2.73,1.23,4.65,0.7,142
"49","Jhoulys Chacin",0.223,0.26,0.36,0.29,82.4,2142,270,192.2,7.29,3.32,0.84,4.03,2.6,86
"50","Joey Lucchesi",0.254,0.31,0.45,0.328,83,2171,244,130,10.04,2.98,1.59,4.31,1.1,105
"51","Jon Gray",0.266,0.326,0.451,0.333,84.1,2129,372,172.1,9.56,2.72,1.41,4.08,2.7,110
"52","Jon Lester",0.256,0.294,0.41,0.32,83.3,2274,280,181.2,7.38,3.17,1.19,4.39,1.7,83
"53","Jordan Zimmermann",0.269,0.289,0.497,0.339,84.5,2306,206,131.1,7.61,1.78,1.92,4.88,0.9,106
"54","Jose Berrios",0.222,0.271,0.372,0.292,81.1,2187,379,192.1,9.45,2.85,1.17,3.9,3.3,88
"55","Jose Quintana",0.244,0.283,0.42,0.32,83.8,1999,252,174.1,8.16,3.51,1.29,4.43,1.4,100
"56","Jose Urena",0.242,0.275,0.381,0.298,84.2,2093,266,174,6.72,2.64,0.98,4.17,1.8,104
"57","Julio Teheran",0.196,0.218,0.374,0.295,83.2,2288,344,175.2,8.3,4.3,1.33,4.83,0.7,97
"58","Junior Guerra",0.264,0.317,0.434,0.333,83,2080,269,135,8.53,3.67,1.27,4.41,1.4,105
"59","Justin Verlander",0.2,0.274,0.36,0.26,82.1,2662,555,214,12.2,1.56,1.18,2.78,6.8,62
